epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.8943391835021972,0.026397117912769316,4025,40.25,49984,49984,0,0,0.001,1,32.79579305648804
2,50000,1.3739973992156982,0.01872461383342743,5678,56.78,49984,99968,0,0,0.001,1,24.14202308654785
3,50000,1.0570974355316163,0.018353742122650146,5879,58.79,49984,149952,29,29,0.001,1,24.228734493255615
4,49971,0.868664994430542,0.01439094334244728,6759,67.59,49920,199872,52,52,0.001,1,27.836689472198486
5,49948,0.7261828624343872,0.011827142590284348,7383,73.83,49920,249792,190,190,0.001,1,27.314432859420776
6,49810,0.6642391479110717,0.013063169544935227,7118,71.18,49792,299584,352,352,0.001,1,24.279120922088623
7,49648,0.614869158706665,0.013095576590299605,7280,72.8,49600,349184,581,581,0.001,1,24.23423671722412
8,49419,0.5727860027694702,0.012763455590605736,7353,73.53,49408,398592,563,563,0.001,1,24.148430347442627
9,49437,0.5503622482872009,0.00986700439453125,7850,78.5,49408,448000,786,786,0.001,1,24.144041299819946
10,49214,0.522585634841919,0.009426736456155776,7934,79.34,49152,497152,869,869,0.001,1,24.072864532470703
11,49131,0.5031660524749756,0.009041170570254326,8047,80.47,49088,546240,1037,1037,0.001,1,24.00197196006775
12,48963,0.4792396422767639,0.010323350858688355,7779,77.79,48960,595200,1217,1217,0.001,1,23.997453927993774
13,48783,0.4669578327178955,0.008745996820926666,8120,81.2,48768,643968,1354,1354,0.001,1,23.87899923324585
14,48646,0.44405094093322756,0.009195591762661933,8085,80.85,48640,692608,1407,1407,0.001,1,23.86047387123108
15,48593,0.43077773208618164,0.008008831757307053,8278,82.78,48576,741184,1595,1595,0.001,1,23.85059666633606
16,48405,0.41584811389923093,0.009258143910765649,8032,80.32,48384,789568,1673,1673,0.001,1,23.807169675827026
17,48327,0.40425147899627684,0.008055481596291065,8358,83.58,48320,837888,1695,1695,0.001,1,23.793142795562744
