epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.99503707885742,40.812686920166016,1.322996380622464,48165,2067
40,50.10921096801758,37.81700134277344,1.3250445352297373,48991,910
60,43.9572639465332,33.512725830078125,1.3116588656324983,49937,5033
80,37.30879592895508,28.109941482543945,1.3272455921732726,37947,12485
100,32.576622009277344,24.05040168762207,1.3545146743242726,26777,23811
120,30.743083953857422,22.160715103149414,1.3872785156417766,14930,35426
140,30.092853546142578,21.37483787536621,1.407863475812539,10363,39713
160,29.83193016052246,21.039304733276367,1.4179142580381672,8741,41284
180,29.721567153930664,20.89325714111328,1.4225435006706175,8110,41933
200,29.673599243164062,20.82898712158203,1.4246299673601341,7914,42095
