epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,52.97734832763672,40.7298583984375,1.3007005280840618,48079,1981
40,49.800453186035156,37.83662796020508,1.31619692004301,42936,7112
60,44.8785400390625,33.462955474853516,1.3411409542945925,34070,16624
80,38.82158279418945,28.138694763183594,1.3796511572734087,19816,30770
100,35.28327560424805,24.055776596069336,1.4667277717408325,8559,41614
120,33.97371292114258,22.162660598754883,1.5329257410119457,6179,43912
140,33.467987060546875,21.376251220703125,1.5656621320081032,5719,44214
160,33.26132583618164,21.039831161499023,1.5808741800669408,5501,44526
180,33.17241287231445,20.89348030090332,1.5876920644417607,5500,44532
200,33.133338928222656,20.829139709472656,1.5907204709541751,5434,44613
