method,mean_best_test_acc_pct,mean_backprop_saved_pct,mean_full_run_wallclock_min,mean_power_w,peak_mem_used_delta_mib,mean_gpu_util_pct,est_full_run_energy_wh
baseline,95.03,0.031999999999998696,15.660507412751516,376.0955294117647,1162.0,67.74117647058823,98.16411377092744
ies_shipped,94.71333333333334,45.659733333333335,12.855579234494105,364.43810526315787,1216.0,62.83157894736842,78.08438230465714
ies_alg1,94.85,49.02037333333333,12.259717514779831,343.2889215686275,1184.0,59.009803921568626,70.14375340641304
tgies,94.84666666666666,53.632,11.660980059040918,308.25603305785125,1454.0,48.90909090909091,59.90945757611102
