epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9105324729919433,0.02554490772485733,4016,40.16,49984,49984,0,0,0.001,0,11.438800811767578
2,50000,1.4036058248901366,0.019756418824195862,5428,54.28,49984,99968,0,0,0.001,0,4.790610313415527
3,50000,1.0704872129058838,0.015762010216712953,6423,64.23,49984,149952,39,39,0.001,0,4.780616760253906
4,49961,0.8512349254226684,0.014501969110965728,6771,67.71,49920,199872,42,42,0.001,0,8.030587434768677
5,49958,0.7338443454360962,0.010786262273788452,7624,76.24,49920,249792,169,167,0.001,0,8.082036256790161
6,49831,0.6698025874710083,0.011082784089446069,7586,75.86,49792,299584,390,385,0.001,0,4.86541485786438
7,49610,0.6233517537689209,0.013188121825456619,7274,72.74,49600,349184,556,549,0.001,0,4.847800016403198
8,49444,0.5843113822174072,0.01128935440480709,7533,75.33,49408,398592,635,621,0.001,0,4.826449155807495
9,49365,0.5582016567993164,0.013216569116711617,7217,72.17,49344,447936,723,700,0.001,0,4.880030155181885
10,49277,0.5342682600021362,0.00919095730483532,8035,80.35,49216,497152,907,836,0.001,0,4.880231618881226
11,49093,0.5111828864097595,0.010296948957443238,7784,77.84,49088,546240,1007,933,0.001,0,4.863975763320923
12,48993,0.4881861783790588,0.009376834145188332,8011,80.11,48960,595200,1159,1068,0.001,0,4.826497554779053
13,48841,0.46986635215759276,0.011026611146330833,7613,76.13,48832,644032,1122,1043,0.001,0,4.883620738983154
14,48878,0.45204898488998413,0.009188575264811516,7982,79.82,48832,692864,1288,1134,0.001,0,4.81287407875061
15,48712,0.44004036586761475,0.008594972747564315,8131,81.31,48704,741568,1428,1262,0.001,0,4.83919620513916
16,48572,0.42465918333053587,0.009204939514398575,8013,80.13,48512,790080,1659,1423,0.001,0,4.82231593132019
17,48341,0.407813060131073,0.008592127153277397,8216,82.16,48320,838400,1670,1390,0.001,0,4.8037097454071045
18,48330,0.3943735335922241,0.007396535480022431,8439,84.39,48320,886720,1754,1532,0.001,0,4.860778331756592
19,48246,0.37738730659484865,0.00830737634599209,8230,82.3,48192,934912,1952,1595,0.001,0,4.82187557220459
20,48048,0.37274098596572874,0.007998058626055718,8273,82.73,48000,982912,2127,1772,0.001,0,4.813904523849487
21,47873,0.3574427957725525,0.008225026191771031,8245,82.45,47872,1030784,2207,1759,0.001,0,4.8143250942230225
22,47793,0.3450990890598297,0.007328363308310509,8428,84.28,47744,1078528,2279,1820,0.001,0,4.835268974304199
23,47721,0.336457699508667,0.006673983061313629,8608,86.08,47680,1126208,2490,1969,0.001,0,4.804963827133179
24,47510,0.32307484241485596,0.006887996046245098,8533,85.33,47488,1173696,2701,2005,0.001,0,4.818957567214966
25,47299,0.31751123232841494,0.007715231087803841,8363,83.63,47296,1220992,2731,2121,0.001,0,4.792513847351074
26,47269,0.30249403388023377,0.0066856211155653,8545,85.45,47232,1268224,2863,2213,0.001,0,4.796118259429932
27,47137,0.2936871580028534,0.0070280022144317625,8471,84.71,47104,1315328,2887,2183,0.001,0,4.762319803237915
28,47113,0.2904302882099152,0.007248854929208756,8473,84.73,47104,1362432,3262,2523,0.001,0,4.796246767044067
29,46738,0.27313199595451354,0.006216983193159103,8677,86.77,46720,1409152,3310,2440,0.001,0,4.7748072147369385
30,46690,0.26876259858131407,0.006507237142324447,8595,85.95,46656,1455808,3347,2529,0.001,0,4.751905202865601
31,46653,0.26109982959747313,0.006308128510415554,8626,86.26,46592,1502400,3688,2675,0.001,0,4.783126354217529
32,46312,0.24721026748657227,0.006809294353425503,8535,85.35,46272,1548672,3934,2819,0.001,0,4.710018873214722
33,46066,0.2394470372200012,0.005787741580605507,8751,87.51,46016,1594688,4302,2975,0.001,0,4.736731290817261
34,45698,0.22683461107730865,0.0058080422334373,8778,87.78,45696,1640384,4487,2912,0.001,0,4.7096710205078125
35,45513,0.2265922140598297,0.0063246129527688025,8608,86.08,45504,1685888,4537,3019,0.001,0,4.6915082931518555
36,45463,0.21485992679595947,0.006237107113003731,8639,86.39,45440,1731328,4446,2973,0.001,0,4.706662178039551
37,45554,0.20240062489986418,0.005196400792896748,8876,88.76,45504,1776832,4811,3067,0.001,0,4.702958106994629
38,45189,0.1965003602218628,0.005951922105252742,8710,87.1,45184,1822016,5308,3395,0.001,0,4.664466381072998
39,44692,0.1921790095758438,0.005656721498072148,8788,87.88,44672,1866688,5488,3564,0.001,0,4.667972564697266
40,44512,0.18295630136966706,0.005396640132367611,8873,88.73,44480,1911168,5661,3380,0.001,0,4.639256000518799
41,44339,0.1722226164650917,0.004776573164761066,8981,89.81,44288,1955456,5852,3390,0.001,0,4.63484787940979
42,44148,0.168914133207798,0.005274188949167729,8874,88.74,44096,1999552,6319,3866,0.001,0,4.610204696655273
43,43681,0.1658655672645569,0.004942905312776566,8935,89.35,43648,2043200,6411,3618,0.001,0,4.598721265792847
44,43589,0.14872839375019073,0.005898809357732534,8752,87.52,43584,2086784,6812,3710,0.001,0,4.569743633270264
45,43188,0.15355167064189912,0.0048476407643407585,8958,89.58,43136,2129920,7242,3931,0.001,0,4.584284782409668
46,42758,0.13659972095251083,0.005358698259294033,8855,88.55,42752,2172672,7655,4322,0.001,0,4.533443450927734
47,42345,0.13342678570270539,0.005017738825827837,8924,89.24,42304,2214976,7472,3810,0.001,0,4.563171148300171
48,42528,0.12574215593338012,0.0050043069511652,8968,89.68,42496,2257472,7968,4023,0.001,0,4.564901828765869
49,42032,0.12338831383466721,0.004801151446998119,8973,89.73,41984,2299456,8601,4523,0.001,0,4.517374277114868
50,41399,0.11446030984163284,0.004450477764010429,9057,90.57,41344,2340800,9144,4402,0.001,0,4.5002875328063965
51,40856,0.1123227673959732,0.004536280061304569,9080,90.8,40832,2381632,9725,4373,0.001,0,4.464035987854004
52,40275,0.10454992970228195,0.005138688163459301,8934,89.34,40256,2421888,9953,4446,0.001,0,4.400360584259033
53,40047,0.09573095652818679,0.004786804834008217,9001,90.01,40000,2461888,10032,4407,0.001,0,4.391397476196289
54,39968,0.09433148442625999,0.004567341004684568,9044,90.44,39936,2501824,10341,4659,0.001,0,4.363611221313477
55,39659,0.0844669432914257,0.004737383599206805,9029,90.29,39616,2541440,10867,4725,0.001,0,4.383240222930908
56,39133,0.08369295273780823,0.004152996354550124,9146,91.46,39104,2580544,11507,4793,0.001,0,4.316124439239502
57,38493,0.07764964552283286,0.004438525337353349,9097,90.97,38464,2619008,12323,5141,0.001,0,4.316230773925781
58,37677,0.07181789839148521,0.004337130442634225,9116,91.16,37632,2656640,12688,4817,0.001,0,4.279528856277466
59,37312,0.06184500469565392,0.0044803200930356975,9096,90.96,37312,2693952,13384,4916,0.001,0,4.244813919067383
60,36616,0.05597088549733162,0.0047610926575958725,9064,90.64,36608,2730560,14333,5228,0.001,0,4.225635528564453
61,35667,0.05559893331170082,0.004672832813858986,9080,90.8,35648,2766208,15046,5297,0.001,0,4.1572935581207275
62,34954,0.05660871754288673,0.004588543229922653,9094,90.94,34944,2801152,15531,5196,0.001,0,4.105771064758301
63,34469,0.049119490147829056,0.005401192607730627,9007,90.07,34432,2835584,15008,4890,0.001,0,4.076472997665405
