epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.569732666015625,40.786319732666016,1.3134240357340037,47948,2107
40,51.47357940673828,37.92776870727539,1.3571475771224186,34388,15325
60,46.955177307128906,33.466590881347656,1.4030463238279525,21958,29111
80,41.855438232421875,28.133472442626953,1.4877451874374323,8910,41572
100,38.99738693237305,24.09389877319336,1.6185585944173204,4966,45053
120,37.83830642700195,22.19562530517578,1.704764155402212,4488,45613
140,37.377655029296875,21.41046142578125,1.7457659732773834,4322,45718
160,37.18316650390625,21.0748348236084,1.7643396408617644,4301,45765
180,37.09915542602539,20.928667068481445,1.7726477899730502,4140,45865
200,37.062320709228516,20.86446189880371,1.7763372421961925,4199,45859
