epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.659576416015625,40.786319732666016,1.3156268270274785,47984,2283
40,50.21598434448242,37.92776870727539,1.3239899434118274,42754,7440
60,45.21725845336914,33.466590881347656,1.3511163600045868,34562,16080
80,39.136898040771484,28.133472442626953,1.3911150897061852,19781,31180
100,35.621681213378906,24.09389877319336,1.4784523479865885,8712,41527
120,34.30196762084961,22.19562530517578,1.5454382180821353,6039,43957
140,33.79170227050781,21.41046142578125,1.5782799631687425,5782,44272
160,33.578834533691406,21.0748348236084,1.5933142449152582,5536,44413
180,33.489646911621094,20.928667068481445,1.6001805944945473,5631,44440
200,33.45090103149414,20.86446189880371,1.6032477230295639,5430,44543
