epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.317169189453125,40.7298583984375,1.309043814193533,48008,2134
40,50.4086799621582,37.83662796020508,1.3322719988466167,41592,9041
60,45.780059814453125,33.462955474853516,1.3680817837161925,28217,22370
80,40.12624740600586,28.138694763183594,1.4260166558438478,13178,37661
100,36.96431350708008,24.055776596069336,1.5366086128817795,6497,43561
120,35.736331939697266,22.162660598754883,1.612456761698772,5293,44786
140,35.24871826171875,21.376251220703125,1.6489663177040133,4721,45249
160,35.04526901245117,21.039831161499023,1.6656630342443444,4710,45344
180,34.95750427246094,20.89348030090332,1.6731297882885297,4780,45185
200,34.919090270996094,20.829139709472656,1.6764537930059407,4829,45226
