setting,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,sd_diff,ci95_low,ci95_high,cohens_dz,p_sign_exact,per_seed_diffs
vit_cifar10,flop_saved_pct,tgies,ies_alg1,3,17.077581353864222,11.165660602942006,5.911920750922214,0.058493674346905625,5.7666144085727575,6.05722709327167,101.06940309238686,0.25,5.8581;5.9035;5.9742
vit_cifar100,best_test_acc_pct,tgies,baseline,3,58.56,59.25,-0.6900000000000001,0.6722350779303331,-2.3599245083109643,0.9799245083109643,-1.0264266514094464,0.25,-0.2200;-1.4600;-0.3900
vit_cifar100,best_test_acc_pct,tgies,ies_shipped,3,58.56,59.18666666666667,-0.6266666666666699,0.684129617348447,-2.3261388489111834,1.0728055155778433,-0.9160057550139514,1.0,0.0100;-1.3500;-0.5400
vit_cifar100,best_test_acc_pct,tgies,ies_alg1,3,58.56,58.77,-0.2100000000000032,0.707672240518168,-1.967955300296147,1.5479553002961404,-0.2967475449457197,1.0,0.4300;-0.9700;-0.0900
vit_cifar100,backprop_saved_pct,tgies,baseline,3,26.27754666666667,0.031999999999998696,26.24554666666667,0.1373979291449964,25.90423128934835,26.58686204398499,191.01850246206894,0.25,26.1939;26.4013;26.1414
vit_cifar100,backprop_saved_pct,tgies,ies_shipped,3,26.27754666666667,8.384853333333334,17.892693333333337,0.11584235725041574,17.604924965058704,18.18046170160797,154.45726207603673,0.25,18.0250;17.8093;17.8438
vit_cifar100,backprop_saved_pct,tgies,ies_alg1,3,26.27754666666667,12.510933333333334,13.766613333333337,0.1618799423441103,13.36448126376524,14.168745402901434,85.04211907902382,0.25,13.9424;13.7338;13.6237
vit_cifar100,flop_saved_pct,tgies,baseline,3,17.58613674689902,0.02141586438945131,17.564720882509572,0.09195298181125897,17.33629701267574,17.793144752343405,191.01850246208005,0.25,17.5302;17.6689;17.4950
vit_cifar100,flop_saved_pct,tgies,ies_shipped,3,17.58613674689902,5.611527559752864,11.974609187146157,0.07752700666966673,11.782021426191676,12.167196948100639,154.45726207602118,0.25,12.0631;11.9188;11.9419
vit_cifar100,flop_saved_pct,tgies,ies_alg1,3,17.58613674689902,8.372889114128508,9.213247632770512,0.1083374653941701,8.944122449379288,9.482372816161737,85.04211907902268,0.25,9.3309;9.1913;9.1176
