method,n_samples,short_run_wallclock_s,peak_mem_used_delta_mib,mean_gpu_util_pct,mean_power_w,short_run_energy_wh
baseline,85,44.02836084365845,1162.0,67.74117647058823,376.0955294117647,4.599686022396648
ies_shipped,95,49.10318660736084,1216.0,62.83157894736842,364.43810526315787,4.970853413769404
ies_alg1,102,52.712748527526855,1184.0,59.009803921568626,343.2889215686275,5.026584054148042
tgies,121,62.511409759521484,1454.0,48.90909090909091,308.25603305785125,5.352644220367761
