epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.01664733886719,40.7298583984375,1.3016653979062456,48064,2097
40,49.45701599121094,37.83662796020508,1.3071200753731986,48781,1158
60,43.4454345703125,33.462955474853516,1.2983143286001901,49809,4772
80,36.90211868286133,28.138694763183594,1.3114367597157959,38250,12248
100,32.21452713012695,24.055776596069336,1.339159723298675,26671,24033
120,30.39341926574707,22.162660598754883,1.3713795385854801,15561,34862
140,29.744407653808594,21.376251220703125,1.3914697832986178,10308,39865
160,29.4870662689209,21.039831161499023,1.4014877801338799,8477,41549
180,29.378355026245117,20.89348030090332,1.4061015495333709,7836,42172
200,29.331159591674805,20.829139709472656,1.408179118330826,7503,42530
