epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.72014236450195,40.786319732666016,1.317111784456423,47997,2159
40,51.050201416015625,37.92776870727539,1.3459848326438213,38227,12169
60,46.52312088012695,33.466590881347656,1.390136241993392,24590,26108
80,41.19170379638672,28.133472442626953,1.4641528478359587,10783,39652
100,38.208805084228516,24.09389877319336,1.585829070002538,5691,44272
120,37.01050567626953,22.19562530517578,1.6674684838745715,4703,45222
140,36.535091400146484,21.41046142578125,1.706413078802357,4563,45463
160,36.3343391418457,21.0748348236084,1.724062819279767,4519,45424
180,36.2476692199707,20.928667068481445,1.7319626281675464,4528,45536
200,36.2095832824707,20.86446189880371,1.7354669129783225,4555,45412
