epoch,n_passive,n_probed,eps0,mean_gnorm,median_gnorm,n_exceed_eps0,frac_exceed_eps0
40,1035,300,0.02689596675336361,0.105573201536564,0.030009605102142727,159,0.53
60,10463,300,0.02689596675336361,0.13158763134026136,0.02940821130616074,156,0.52
80,22879,300,0.02689596675336361,0.1342106453519128,0.02083830709152878,129,0.43
100,36496,300,0.02689596675336361,0.1299264463612556,0.02803819749649067,153,0.51
120,41920,300,0.02689596675336361,0.12597990642793136,0.02760440857626059,156,0.52
140,43078,300,0.02689596675336361,0.06780130741293781,0.027196400574381954,152,0.5066666666666667
160,43475,300,0.02689596675336361,0.1371079297483576,0.028977139467893456,156,0.52
180,43605,300,0.02689596675336361,0.09352715045047644,0.033150846685112124,176,0.5866666666666667
200,43820,300,0.02689596675336361,0.08387374543471075,0.031713588150926855,170,0.5666666666666667
