epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.424556732177734,40.7298583984375,1.311680394504569,48126,2027
40,51.510948181152344,37.83662796020508,1.3614043047210582,35554,15336
60,47.09831237792969,33.462955474853516,1.4074761690826372,22082,28968
80,41.934810638427734,28.138694763183594,1.4902898301201537,9250,41112
100,39.031429290771484,24.055776596069336,1.6225387334678332,5452,44698
120,37.87435531616211,22.162660598754883,1.708926378554474,4675,45311
140,37.41191482543945,21.376251220703125,1.7501625724348533,4665,45290
160,37.21685791015625,21.039831161499023,1.7688762625747545,4437,45373
180,37.132259368896484,20.89348030090332,1.7772175259519156,4490,45506
200,37.09530258178711,20.829139709472656,1.7809330149586995,4416,45548
