epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,54.46735763549805,40.812686920166016,1.3345692662196447,48150,2041
40,52.35344314575195,37.81700134277344,1.384389065415847,35486,15582
60,47.73334884643555,33.512725830078125,1.4243350149570413,22377,27912
80,42.353790283203125,28.109941482543945,1.50671926192036,9814,40628
100,39.40245056152344,24.05040168762207,1.6383281690385465,5762,44222
120,38.21318435668945,22.160715103149414,1.7243660314580151,5321,44797
140,37.735504150390625,21.37483787536621,1.7654170932393147,5118,44956
160,37.534454345703125,21.039304733276367,1.7840159083934726,4925,45016
180,37.44729995727539,20.89325714111328,1.7923150854055894,5032,44951
200,37.40901565551758,20.82898712158203,1.7960074312377912,5065,45079
