epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.743751525878906,40.812686920166016,1.316839335547974,48057,2152
40,51.38050842285156,37.81700134277344,1.3586616230392898,37395,13073
60,46.793033599853516,33.512725830078125,1.3962765618383728,24253,26671
80,41.41343688964844,28.109941482543945,1.4732665635524662,10324,40100
100,38.445621490478516,24.05040168762207,1.5985438409648343,5946,44309
120,37.26579666137695,22.160715103149414,1.681615258709808,4621,45302
140,36.79715347290039,21.37483787536621,1.721517313369094,4360,45648
160,36.60029983520508,21.039304733276367,1.739615462545062,4175,45896
180,36.51557540893555,20.89325714111328,1.747720576179624,4146,45741
200,36.47840118408203,20.82898712158203,1.7513286157964352,4263,45770
