epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,4.033507377624511,0.05774221181869507,1324,13.24,49984,49984,0,0,0.002,1,11.483833074569702
2,50000,3.4463019439697264,0.05155952205657959,1940,19.4,49984,99968,0,0,0.002,1,4.804372072219849
3,50000,3.0047433569335937,0.04701155474185944,2571,25.71,49984,149952,39,39,0.002,1,4.818822622299194
4,49961,2.5780896365356445,0.040327671217918394,3400,34.0,49920,199872,48,48,0.002,1,8.073931694030762
5,49952,2.2512825564575194,0.03580404449701309,3967,39.67,49920,249792,51,51,0.002,1,8.123520374298096
6,49949,2.0377678939819335,0.03149250079393387,4505,45.05,49920,299712,59,59,0.002,1,8.07665228843689
7,49941,1.8929596585083008,0.030543626081943512,4719,47.19,49920,349632,96,96,0.002,1,8.08703327178955
8,49904,1.7780234802246093,0.03016147313117981,4770,47.7,49856,399488,112,112,0.002,1,4.795385122299194
9,49888,1.698969287109375,0.03125301305055618,4767,47.67,49856,449344,145,145,0.002,1,4.785193204879761
10,49855,1.623778998413086,0.028908301210403442,5012,50.12,49792,499136,193,193,0.002,1,4.784761905670166
11,49807,1.5660090322875977,0.02881829390525818,4966,49.66,49792,548928,202,202,0.002,1,4.796205043792725
12,49798,1.5120870455932618,0.026397688317298888,5319,53.19,49792,598720,219,219,0.002,1,4.798587799072266
13,49781,1.4628168656921388,0.02658288941383362,5367,53.67,49728,648448,261,261,0.002,1,4.793018579483032
14,49739,1.4171001359558106,0.025003106236457826,5591,55.91,49728,698176,289,289,0.002,1,4.8245322704315186
15,49711,1.3698905571746827,0.02567242467403412,5558,55.58,49664,747840,338,338,0.002,1,4.783363580703735
16,49662,1.3372440668487549,0.024477967059612273,5683,56.83,49600,797440,398,398,0.002,1,4.812330007553101
17,49602,1.294677749710083,0.024049074876308443,5756,57.56,49600,847040,418,418,0.002,1,4.8031251430511475
18,49582,1.257868215637207,0.02428104531764984,5773,57.73,49536,896576,453,453,0.002,1,4.811034679412842
19,49547,1.2218595469665527,0.02285912054181099,5908,59.08,49536,946112,548,548,0.002,1,4.8231117725372314
20,49452,1.1852400311279296,0.022110750198364258,6081,60.81,49408,995520,620,620,0.002,1,4.799257040023804
