epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,54.34309387207031,40.812686920166016,1.3315245325153726,48154,1946
40,51.284210205078125,37.81700134277344,1.3561151964492864,41410,9272
60,46.576847076416016,33.512725830078125,1.3898256833114024,28400,21989
80,40.70109176635742,28.109941482543945,1.4479251688102048,13614,37139
100,37.50495147705078,24.05040168762207,1.5594313959568216,6754,43397
120,36.255130767822266,22.160715103149414,1.6360090637449598,5715,44294
140,35.758731842041016,21.37483787536621,1.6729358159601184,5495,44579
160,35.549652099609375,21.039304733276367,1.6896780834864293,5162,44825
180,35.45954132080078,20.89325714111328,1.6971763225478278,5256,44811
200,35.42005920410156,20.82898712158203,1.70051760065668,5194,44832
