epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.543434143066406,40.786319732666016,1.312779247895297,48152,2035
40,50.780479431152344,37.92776870727539,1.338873368034738,41065,9079
60,46.180503845214844,33.466590881347656,1.3798986580062205,28089,22717
80,40.488616943359375,28.133472442626953,1.4391617325564225,13289,37440
100,37.3504753112793,24.09389877319336,1.550204707958476,6246,43815
120,36.11814498901367,22.19562530517578,1.6272641339188272,5112,44845
140,35.62993621826172,21.41046142578125,1.6641367745282776,4948,45098
160,35.424766540527344,21.0748348236084,1.6809036387247933,4756,45266
180,35.33608627319336,20.928667068481445,1.6884059628627508,4821,45178
200,35.29751205444336,20.86446189880371,1.6917528103836306,4579,45358
