epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,54.0693359375,40.786319732666016,1.3256733211502663,47915,2228
40,50.17778778076172,37.92776870727539,1.3229828563876604,48979,896
60,44.847190856933594,33.466590881347656,1.3400585382578907,40097,10348
80,38.29372787475586,28.133472442626953,1.361144734367536,28104,22555
100,34.18105697631836,24.09389877319336,1.418660271551729,14351,36189
120,32.70632553100586,22.19562530517578,1.4735482817588876,8844,41260
140,32.13161849975586,21.41046142578125,1.5007438588439204,7514,42542
160,31.893596649169922,21.0748348236084,1.5133497802527096,7083,42979
180,31.790925979614258,20.928667068481445,1.5190134123491967,6920,43119
200,31.746000289916992,20.86446189880371,1.5215345808528706,6876,43115
