epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.97056579589844,40.786319732666016,1.3232516723658467,47927,2211
40,49.98295211791992,37.92776870727539,1.3178458375362345,48857,1048
60,43.789920806884766,33.466590881347656,1.3084667321549843,49872,4753
80,37.155540466308594,28.133472442626953,1.3206880360069484,38367,12052
100,32.42593765258789,24.09389877319336,1.3458153019495822,27107,23548
120,30.581504821777344,22.19562530517578,1.3778167725081423,15715,34626
140,29.920291900634766,21.41046142578125,1.3974613300303032,11050,39070
160,29.65598487854004,21.0748348236084,1.4071751986079097,9195,40840
180,29.54433250427246,20.928667068481445,1.4116681395714017,8551,41474
200,29.495771408081055,20.86446189880371,1.4136847406437176,8453,41541
