epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,54.059417724609375,40.812686920166016,1.3245738471067927,48256,1877
40,50.2341423034668,37.81700134277344,1.3283481111615474,48892,1033
60,44.946285247802734,33.512725830078125,1.341170678735504,40070,10351
80,38.276649475097656,28.109941482543945,1.3616765975435117,27901,22816
100,34.16827392578125,24.05040168762207,1.420694521845201,14422,35959
120,32.70336151123047,22.160715103149414,1.4757358397059472,8588,41517
140,32.1341667175293,21.37483787536621,1.5033642315744933,7577,42412
160,31.89596176147461,21.039304733276367,1.5160178611333597,7119,42925
180,31.793746948242188,20.89325714111328,1.5217228569727965,6922,43129
200,31.74921226501465,20.82898712158203,1.524280181253633,6797,43201
