epoch,n_passive,n_probed,eps0,mean_gnorm,median_gnorm,n_exceed_eps0,frac_exceed_eps0,agg_grad_norm
40,745,300,0.03786836043000221,0.054253930706745855,0.02667824310845355,117,0.39,0.01705417119744355
60,10418,300,0.03786836043000221,0.11367972732063239,0.02449416874573594,115,0.38333333333333336,0.03134542634182211
80,23261,300,0.03786836043000221,0.13092304529078427,0.021775973686269864,99,0.33,0.04504575742679266
100,36514,300,0.03786836043000221,0.16971052022615735,0.024527253975307334,106,0.35333333333333333,0.06762125239775607
120,41646,300,0.03786836043000221,0.13571331639513323,0.02986486935586779,120,0.4,0.05496017790418171
140,43181,300,0.03786836043000221,0.064245118379284,0.027747025036763934,121,0.4033333333333333,0.014585041959094927
160,43677,300,0.03786836043000221,0.09893307127026281,0.026509143276700172,120,0.4,0.02352853082868844
180,43611,300,0.03786836043000221,0.08691446182474666,0.02973981765037772,127,0.42333333333333334,0.020867907488215712
200,43683,300,0.03786836043000221,0.0852789485938079,0.02807950889585472,106,0.35333333333333333,0.02871667106147785
