epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.99049758911133,40.812686920166016,1.3228851532054853,48112,2033
40,50.408477783203125,37.81700134277344,1.3329580874564988,43192,6781
60,45.43273162841797,33.512725830078125,1.3556859522194247,34430,16491
80,39.28611373901367,28.109941482543945,1.3975878876663632,20408,30359
100,35.661869049072266,24.05040168762207,1.482797231924248,9483,40849
120,34.313636779785156,22.160715103149414,1.548399346323829,7028,42965
140,33.78647232055664,21.37483787536621,1.5806656648139739,6399,43687
160,33.566810607910156,21.039304733276367,1.5954334534077985,6055,43914
180,33.474605560302734,20.89325714111328,1.6021726691159206,6044,43879
200,33.43495178222656,20.82898712158203,1.6052125620444988,5767,44240
